Gene,Reliability,Locations
ENSG00000000003,Approved,"{'Cell Junctions', 'Nucleoli fibrillar center', 'Cytosol'}"
ENSG00000000460,Approved,{'Mitochondria'}
ENSG00000000938,Approved,"{'Plasma membrane', 'Aggresome'}"
ENSG00000000971,Approved,{'Vesicles'}
ENSG00000001084,Approved,"{'Nucleoli', 'Cytosol', 'Nucleoplasm'}"
ENSG00000001167,Supported,{'Nucleoplasm'}
ENSG00000001460,Approved,{'Nucleoplasm'}
ENSG00000001461,Approved,{'Nucleoplasm'}
ENSG00000001497,Approved,"{'Centriolar satellite', 'Cytosol', 'Nucleoplasm'}"
ENSG00000001629,Supported,"{'Plasma membrane', 'Cytosol'}"
ENSG00000001630,Enhanced,{'Endoplasmic reticulum'}
ENSG00000002016,Approved,"{'Plasma membrane', 'Nuclear speckles'}"
ENSG00000002330,Enhanced,{'Mitochondria'}
ENSG00000002549,Supported,"{'Midbody', 'Cytosol', 'Nucleoplasm'}"
ENSG00000002586,Approved,{'Golgi apparatus'}
ENSG00000002587,Approved,{'Vesicles'}
ENSG00000002746,Supported,{'Cytosol'}
ENSG00000002822,Supported,"{'Nuclear membrane', 'Nucleoplasm'}"
ENSG00000002834,Supported,"{'Focal adhesion sites', 'Plasma membrane', 'Cytosol'}"
ENSG00000002919,Approved,{'Cytosol'}
ENSG00000002933,Approved,{'Mitochondria'}
ENSG00000003096,Approved,{'Cytosol'}
ENSG00000003137,Approved,{'Cytosol'}
ENSG00000003147,Supported,"{'Vesicles', 'Cytosol'}"
ENSG00000003249,Approved,"{'Cytosol', 'Nuclear speckles'}"
ENSG00000003393,Approved,"{'Intermediate filaments', 'Cytosol'}"
ENSG00000003400,Approved,"{'Vesicles', 'Golgi apparatus'}"
ENSG00000003402,Supported,"{'Plasma membrane', 'Nuclear bodies', 'Cytosol', 'Nucleoplasm'}"
ENSG00000003436,Approved,"{'Intermediate filaments', 'Cytosol'}"
ENSG00000003756,Enhanced,{'Nucleoplasm'}
ENSG00000003987,Approved,{'Cytosol'}
ENSG00000003989,Supported,"{'Plasma membrane', 'Cell Junctions'}"
ENSG00000004139,Approved,{'Vesicles'}
ENSG00000004142,Approved,{'Mitochondria'}
ENSG00000004468,Supported,{'Plasma membrane'}
ENSG00000004478,Enhanced,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000004487,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000004534,Approved,"{'Cytoplasmic bodies', 'Nuclear speckles'}"
ENSG00000004660,Supported,{'Cytosol'}
ENSG00000004700,Enhanced,{'Nucleoplasm'}
ENSG00000004776,Supported,{'Cytosol'}
ENSG00000004777,Approved,"{'Plasma membrane', 'Actin filaments', 'Cytosol'}"
ENSG00000004779,Supported,"{'Mitochondria', 'Nucleoplasm'}"
ENSG00000004838,Approved,"{'Plasma membrane', 'Cytosol'}"
ENSG00000004864,Supported,{'Mitochondria'}
ENSG00000004866,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000004897,Enhanced,{'Nucleoplasm'}
ENSG00000004961,Enhanced,{'Mitochondria'}
ENSG00000004975,Enhanced,"{'Nuclear bodies', 'Nucleoplasm'}"
