Protein,Actin filaments,Cell Junctions,Centriolar satellite,Centrosome,Cytokinetic bridge,Cytoplasmic bodies,Cytosol,Endoplasmic reticulum,Endosomes,Focal adhesion sites,Golgi apparatus,Intermediate filaments,Lipid droplets,Lysosomes,Microtubules,Midbody,Midbody ring,Mitochondria,Mitotic spindle,Nuclear bodies,Nuclear membrane,Nuclear speckles,Nucleoli,Nucleoli fibrillar center,Nucleoplasm,Peroxisomes,Plasma membrane,Vesicles
ENSP00000479618,0.9999547,0.9981715,0.9998374,0.9997506,0.9987163,0.9985158,0.021228245,0.9327985,0.9957383,0.99998474,0.46464747,0.9998622,0.9983761,0.9976567,0.99994135,0.9504949,0.8263356,0.02855142,0.9492112,0.99368614,0.9990977,0.8661742,0.08064844,0.99993706,0.9980379,0.96775085,0.1904917,0.4080997
ENSP00000304697,0.9698205,0.9480194,0.99302566,0.5761177,0.41557997,0.9842853,0.39368907,0.33307633,0.99021906,0.99996704,0.0071980604,0.9978879,0.9872679,0.9961023,0.6965659,0.83948517,0.9039972,0.00035853538,0.97133046,0.28115755,0.97150385,0.20616655,0.0001059079,0.9674635,0.98387605,0.88380283,0.010974025,0.38675368
ENSP00000380432,0.9990828,0.98943704,0.99816966,0.9970955,0.9978094,0.9974945,0.17177796,0.95934576,0.9792634,0.99987173,0.9883058,0.99984264,0.9816293,0.978986,0.99989945,0.86390114,0.7583383,0.6048741,0.88102037,0.94647217,0.9930921,0.8681396,0.003988266,0.9981756,0.88206625,0.8936929,0.88165295,0.9946815
ENSP00000441543,0.99066424,0.9848196,0.99759066,0.8793666,0.8222791,0.99371856,0.116312675,0.5480498,0.9958654,0.9999857,0.010806398,0.9994654,0.9970943,0.9981228,0.8957132,0.8757398,0.9123797,0.00033716057,0.98280233,0.50500953,0.98467654,0.31860784,0.0005724611,0.9913246,0.9948018,0.9095228,0.0051895743,0.42453325
ENSP00000215832,0.9879501,0.9878473,0.9975149,0.98833156,0.9933991,0.9888585,0.45248696,0.5903499,0.9454372,0.9993391,0.50790215,0.99874026,0.9859131,0.9720909,0.9963151,0.82628155,0.7209637,0.012316138,0.8505462,0.9570856,0.9935455,0.7416284,0.0010570558,0.9994222,0.9847358,0.90103763,0.8685722,0.86671233
ENSP00000349960,0.99991703,0.99640703,0.9987858,0.9994389,0.98799884,0.9949315,0.5104923,0.95844036,0.98607826,0.99994516,0.019527322,0.999422,0.9897937,0.99321175,0.9992591,0.8542884,0.7732611,0.25784537,0.8891006,0.92022926,0.98277295,0.9368113,0.461535,0.99983555,0.98028255,0.8888611,0.57126224,0.3981814
ENSP00000398698,0.9995194,0.99907017,0.99925405,0.9992126,0.99859315,0.99565804,0.12873854,0.9912421,0.9951825,0.9999195,0.93570423,0.9997506,0.9928315,0.9951015,0.99957746,0.8836164,0.7945642,0.06132704,0.928966,0.99167025,0.9969477,0.8167047,0.0076861167,0.9996872,0.947212,0.91362476,0.93206656,0.9861127
ENSP00000265171,0.98335636,0.9654919,0.99756056,0.9706073,0.96320295,0.996768,0.055200405,0.70771855,0.96616673,0.9985555,0.80795217,0.99897695,0.9843507,0.97894037,0.9933199,0.84152764,0.78773004,0.0049171424,0.8916655,0.8183625,0.9952504,0.23418653,0.00026183773,0.98957455,0.9714169,0.9372452,0.93611515,0.98595154
ENSP00000480158,0.2627141,0.040681142,0.9404866,0.030086268,0.014757724,0.72224164,0.0073051015,6.033334E-05,0.9689908,0.98639476,5.6659305E-06,0.12508652,0.8265245,0.9934427,0.9371742,0.81413716,0.8525089,0.0059348946,0.9730957,0.024894014,0.12965485,0.03489529,0.003693714,0.46052206,0.99989885,0.96030945,1.9876722E-07,3.9179067E-06
ENSP00000277541,0.99969006,0.9968343,0.99928075,0.99759173,0.99530447,0.9986979,0.010438604,0.7911491,0.9923332,0.9997912,0.89567316,0.999804,0.9935692,0.99608237,0.9998048,0.9145593,0.81311905,0.0005949697,0.9386543,0.9241849,0.9991675,0.63255036,0.008380314,0.9996592,0.99844414,0.97379655,0.6179669,0.81488985
